priority,day,character_slug,categories,source_list,status,recording_note
P0,1,ryu,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Pilot; 2-3 seconds pause between moves"
P0,1,jp,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Pilot; include install/SA2 state only if listed"
P1,2,zangief,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,2,chun-li,normals|unique_attacks|specials|super_arts|stance,RC_MOVE_DATA,NOT_CAPTURED,"Stance only from authoritative move list"
P1,2,dhalsim,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Keep camera and stage constant"
P1,2,kimberly,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Special states only if listed"
P1,2,luke,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,2,jamie,normals|unique_attacks|specials|super_arts|install,RC_MOVE_DATA,NOT_CAPTURED,"Drink level variants after Pilot rules fixed"
P1,2,guile,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Charge setup may remain visible before cut"
P1,2,juri,normals|unique_attacks|specials|super_arts|install,RC_MOVE_DATA,NOT_CAPTURED,"Stock variants only if listed"
P1,3,ken,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,3,blanka,normals|unique_attacks|specials|super_arts|install,RC_MOVE_DATA,NOT_CAPTURED,"Install variants after Pilot rules fixed"
P1,3,e-honda,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,3,dee-jay,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,3,manon,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Medal-dependent variants only if required"
P1,3,marisa,normals|unique_attacks|specials|super_arts|stance,RC_MOVE_DATA,NOT_CAPTURED,"Stance only from authoritative move list"
P1,3,lily,normals|unique_attacks|specials|super_arts|install,RC_MOVE_DATA,NOT_CAPTURED,"Wind stock variants only if listed"
P1,3,cammy,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,4,rashid,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Wind-enhanced variants only if listed"
P1,4,aki,normals|unique_attacks|specials|super_arts|stance,RC_MOVE_DATA,NOT_CAPTURED,"Stance only from authoritative move list"
P1,4,ed,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Charge variants only if listed"
P1,4,akuma,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,4,m-bison,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Psycho Mine variants only if listed"
P1,4,terry,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P1,4,mai,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Stock/state variants only if listed"
P1,4,elena,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Category files only"
P2,5,sagat,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Retake day; authoritative list required"
P2,5,c-viper,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Retake day; authoritative list required"
P2,5,alex,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Retake day; authoritative list required"
P2,5,ingrid,normals|unique_attacks|specials|super_arts,RC_MOVE_DATA,NOT_CAPTURED,"Retake day; authoritative list required"
P2,5,yasmine,normals|unique_attacks|specials|super_arts|stance,RC_MOVE_DATA,NOT_CAPTURED,"Bayani state only from authoritative list"
