slug,display_name,categories,state,primary_or_public_source,remaining_gap
kakeru,Kakeru,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,team|youtube|website
kisaragi-ren,如月れん,vtuber|streamer,READY_FOR_REVIEW,https://store.vspo.jp/pages/kisaragi-ren,character|rank|official_tournament_result
tokido,ときど,pro|streamer,READY_FOR_REVIEW,https://varrel.jp/sf6/tokido/,category_write
ryusei,りゅうせい,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,team_primary_crosscheck
shuto,Shuto,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/news/49869/,video_relation
tachikawa,Tachikawa,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
higuchi,Higuchi,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
hinao,Hinao,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
yamaguchi,Yamaguchi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
go1,GO1,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
nemo,Nemo,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
john-takeuchi,John Takeuchi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
naruo,Naruo,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
dogura,Dogura,former_pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@dogura,former_pro_primary_crosscheck
sako,sako,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
takepi,takepi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,category_write
haibani,ハイタニ,former_pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@haibanitv,identity_and_history_primary_crosscheck
kazunoko,かずのこ,pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@kazunoko,identity_and_current_pro_primary_crosscheck
