slug,display_name,original_copy,rendered_copy,classification,action
blaz,Blaz,,,COPY_OK_FALLBACK,変更なし
caba,Caba,,,COPY_OK_FALLBACK,変更なし
chris-wong,Chris Wong,Current Luke reference player on FGC Top Players (2026 snapshot).,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
craime,Craime,Ryu reference player listed at the top of the current FGC Top Players Ryu page (2026-08-26 snapshot).,公開プロフィールでリュウとの関係を確認できるプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
crossoverrd,CrossoverRD,,,COPY_OK_FALLBACK,変更なし
dogura,Dogura,Dogura選手。公開大会・プロフィールでElenaの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでElenaとの関係を確認できるDogura選手です。,SAFE_COPY_FIX,presentation layerで自然化
endingwalker,EndingWalker,EndingWalker選手。公開大会・プロフィールでRyuの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでRyuとの関係を確認できるEndingWalker選手です。,SAFE_COPY_FIX,presentation layerで自然化
enzo-yasmine,Enzo,,,COPY_OK_FALLBACK,変更なし
go1,GO1,,,COPY_OK_FALLBACK,変更なし
grustle-grindset,Grustle Grindset,,,COPY_OK_FALLBACK,変更なし
higuchi,Higuchi,,,COPY_OK_FALLBACK,変更なし
hinao,Hinao,REJECT所属のHinao選手。公開大会・プロフィールでSagatの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでSagatとの関係を確認できるREJECT所属のHinao選手です。,SAFE_COPY_FIX,presentation layerで自然化
inaba,inaba,,,COPY_OK_FALLBACK,変更なし
jaeger,Jaeger,,,COPY_OK_FALLBACK,変更なし
john-takeuchi,John Takeuchi,,,COPY_OK_FALLBACK,変更なし
kilzyou,Kilzyou,,,COPY_OK_FALLBACK,変更なし
lexx,Lexx,,,COPY_OK_FALLBACK,変更なし
linknova,LinkNova,,,COPY_OK_FALLBACK,変更なし
raihan-yasmine,lllRaihanlll,,,COPY_OK_FALLBACK,変更なし
lsecto,lSecto,,,COPY_OK_FALLBACK,変更なし
lugabo,LUGABO,,,COPY_OK_FALLBACK,変更なし
micky,Micky,Team Falcons所属のMicky選手。公開大会・プロフィールでMai Shiranuiの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでMai Shiranuiとの関係を確認できるTeam Falcons所属のMicky選手です。,SAFE_COPY_FIX,presentation layerで自然化
mister-crimson,Mister Crimson,Mister Crimson選手。公開大会・プロフィールでC. Viperの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでC. Viperとの関係を確認できるMister Crimson選手です。,SAFE_COPY_FIX,presentation layerで自然化
mysticsmash,MysticSmash,,,COPY_OK_FALLBACK,変更なし
naruo,Naruo,,,COPY_OK_FALLBACK,変更なし
nemo,Nemo,Saishunkan Sol Kumamoto所属のNemo選手。公開大会・プロフィールでAlexの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでAlexとの関係を確認できるSaishunkan Sol Kumamoto所属のNemo選手です。,SAFE_COPY_FIX,presentation layerで自然化
noahtheprodigy,NoahTheProdigy,Current Luke reference player on FGC Top Players (2026 snapshot).,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
nychrisg,NYChrisG,,,COPY_OK_FALLBACK,変更なし
psycho,Psycho,,,COPY_OK_FALLBACK,変更なし
sako,sako,sako選手。公開大会・プロフィールでIngridの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでIngridとの関係を確認できるsako選手です。,SAFE_COPY_FIX,presentation layerで自然化
shadyimpostor,ShadyImpostor,,,COPY_OK_FALLBACK,変更なし
shine,Shine,,,COPY_OK_FALLBACK,変更なし
shuto,Shuto,Ryu reference player listed on the current FGC Top Players Ryu page (2026-08-26 snapshot).,公開プロフィールでリュウとの関係を確認できるプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
tachikawa,Tachikawa,,,COPY_OK_FALLBACK,変更なし
takepi,takepi,JPを使用する若手競技プレイヤー。,公開情報でJPとの関係を確認できる競技プレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
watyawacha,watyawacha,Current Luke reference player on FGC Top Players (2026 snapshot).,公開プロフィールでLukeとの関係を確認できるプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
wawa,Wawa,,,COPY_OK_FALLBACK,変更なし
yamaguchi,Yamaguchi,ZETA DIVISION所属のYamaguchi選手。公開大会・プロフィールでMai Shiranuiの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでMai Shiranuiとの関係を確認できるZETA DIVISION所属のYamaguchi選手です。,SAFE_COPY_FIX,presentation layerで自然化
tantanmen,タンタンメン,La VISION所属のタンタンメン選手。公開大会・プロフィールでJamieの使用関係を確認しています。関連動画と公式リンクから活動情報を確認できます。,公開プロフィールでJamieとの関係を確認できるLa VISION所属のタンタンメン選手です。,SAFE_COPY_FIX,presentation layerで自然化
tokido,ときど,2026年8月時点でJPを競技投入しているトッププロの参照候補。,公開情報でJPとの関係を確認できるプロプレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
ryusei,りゅうせい,JP専門プレイヤーとして参照する競技プレイヤー。,公開プロフィールでJPとの関係を確認できる競技プレイヤーです。,SAFE_COPY_FIX,presentation layerで自然化
