priority,slug,display_name,team,region,main_character,sub_character,sns,youtube,twitch,website,tournament,video_relation,bio,source,aliases,notes
P1,blaz,Blaz,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,caba,Caba,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,chris-wong,Chris Wong,MISSING,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,craime,Craime,MISSING,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,crossoverrd,CrossoverRD,MISSING,MISSING,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,dogura,Dogura,MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,endingwalker,EndingWalker,MISSING,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,enzo-yasmine,Enzo,MISSING,PRESENT,REFERENCE_ONLY,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,go1,GO1,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,grustle-grindset,Grustle Grindset,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,higuchi,Higuchi,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,hinao,Hinao,PRESENT,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,inaba,inaba,MISSING,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,jaeger,Jaeger,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,john-takeuchi,John Takeuchi,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,kilzyou,Kilzyou,MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,lexx,Lexx,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,linknova,LinkNova,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,raihan-yasmine,lllRaihanlll,MISSING,PRESENT,REFERENCE_ONLY,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,lsecto,lSecto,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,lugabo,LUGABO,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,micky,Micky,MISSING,PRESENT,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,mister-crimson,Mister Crimson,MISSING,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,mysticsmash,MysticSmash,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,naruo,Naruo,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,nemo,Nemo,PRESENT,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,noahtheprodigy,NoahTheProdigy,MISSING,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,nychrisg,NYChrisG,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,psycho,Psycho,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,sako,sako,MISSING,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,shadyimpostor,ShadyImpostor,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,shine,Shine,MISSING,MISSING,REFERENCE_ONLY,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,shuto,Shuto,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,PRESENT,PRESENT,PRESENT,PRESENT,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,tachikawa,Tachikawa,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,takepi,takepi,PRESENT,PRESENT,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,watyawacha,watyawacha,MISSING,PRESENT,REFERENCE_ONLY,MISSING,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,wawa,Wawa,MISSING,MISSING,REFERENCE_ONLY,MISSING,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,MISSING,主要公開データの不足
P1,yamaguchi,Yamaguchi,PRESENT,PRESENT,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,tantanmen,タンタンメン,PRESENT,PRESENT,REFERENCE_ONLY,MISSING,MISSING,PRESENT,MISSING,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,tokido,ときど,PRESENT,PRESENT,PRESENT,MISSING,PRESENT,MISSING,MISSING,PRESENT,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
P1,ryusei,りゅうせい,PRESENT,PRESENT,PRESENT,MISSING,PRESENT,MISSING,PRESENT,MISSING,MISSING,MISSING,PRESENT,PRESENT,MISSING,主要公開データの不足
