slug,display_name,categories,state,primary_or_public_source,confirmed_scope,remaining_gap
kakeru,Kakeru,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,team|youtube|website
kisaragi-ren,如月れん,vtuber|streamer,READY_FOR_REVIEW,https://store.vspo.jp/pages/kisaragi-ren,public_identity|agency|youtube|twitch|sf6_play,character|rank|primary_tournament_result
tokido,ときど,pro|streamer,READY_FOR_REVIEW,https://varrel.jp/sf6/tokido/,public_identity|team,category_write
ryusei,りゅうせい,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition|jp_videos,team_primary_crosscheck
shuto,Shuto,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/news/49869/,public_identity|competition,video_relation
tachikawa,Tachikawa,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
higuchi,Higuchi,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
hinao,Hinao,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,category_write
yamaguchi,Yamaguchi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
go1,GO1,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
nemo,Nemo,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
john-takeuchi,John Takeuchi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
naruo,Naruo,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
dogura,Dogura,former_pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@dogura,public_channel,former_pro_primary_crosscheck
sako,sako,pro|streamer,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
takepi,takepi,pro|competitive_player,READY_FOR_REVIEW,https://sf.esports.capcom.com/,public_identity|competition,category_write
haibani,ハイタニ,former_pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@haibanitv,public_channel,identity_and_history_primary_crosscheck
kazunoko,かずのこ,pro|youtuber|streamer,SOURCE_REQUIRED,https://www.youtube.com/@kazunoko,public_channel,identity_and_current_pro_primary_crosscheck
fujimura,藤村,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
moke,もけ,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
itabashi-zangief,板橋ザンギエフ,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio
kei-b,KEI.B,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
nauman,ナウマン,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
cosa,cosa,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
machabo,マチャボー,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
kobayan,こばやん,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
kincho,キンチョー,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
hikaru,ひかる,pro|competitive_player,SOURCE_CONFIRMED_CANDIDATE,https://sf.esports.capcom.com/sfl2026/team/,public_identity|competition,links|bio|main_character
