slug,display_name,team,main_or_reference_character,region,image_state,detail_route,source,related_video,result
blaz,Blaz,,サガット,,fallback,/players/blaz,1,0,PASS_WITH_GAPS
caba,Caba,,ガイル,,fallback,/players/caba,1,0,PASS_WITH_GAPS
chris-wong,Chris Wong,,ルーク,HK / Hong Kong,fallback,/players/chris-wong,1,0,PASS_WITH_GAPS
craime,Craime,,リュウ,CL / South America,fallback,/players/craime,1,0,PASS_WITH_GAPS
crossoverrd,CrossoverRD,,サガット,,fallback,/players/crossoverrd,1,0,PASS_WITH_GAPS
dogura,Dogura,,エレナ,JP,fallback,/players/dogura,1,0,PASS_WITH_GAPS
endingwalker,EndingWalker,,リュウ,GB,fallback,/players/endingwalker,1,0,PASS_WITH_GAPS
enzo-yasmine,Enzo,,ヤスミン,US,fallback,/players/enzo-yasmine,1,0,PASS_WITH_GAPS
go1,GO1,DetonatioN FocusMe,春麗,JP,fallback,/players/go1,1,0,PASS_WITH_GAPS
grustle-grindset,Grustle Grindset,,イングリッド,,fallback,/players/grustle-grindset,1,0,PASS_WITH_GAPS
higuchi,Higuchi,ZETA DIVISION,ガイル,JP,fallback,/players/higuchi,1,0,PASS_WITH_GAPS
hinao,Hinao,REJECT,サガット,JP,fallback,/players/hinao,1,0,PASS_WITH_GAPS
inaba,inaba,,C.ヴァイパー,JP,fallback,/players/inaba,1,0,PASS_WITH_GAPS
jaeger,Jaeger,,エレナ,,fallback,/players/jaeger,1,0,PASS_WITH_GAPS
john-takeuchi,John Takeuchi,DetonatioN FocusMe,ジェイミー,JP,fallback,/players/john-takeuchi,1,0,PASS_WITH_GAPS
kilzyou,Kilzyou,,不知火舞,FR,fallback,/players/kilzyou,1,0,PASS_WITH_GAPS
lexx,Lexx,,ガイル,,fallback,/players/lexx,1,0,PASS_WITH_GAPS
linknova,LinkNova,,イングリッド,,fallback,/players/linknova,1,0,PASS_WITH_GAPS
raihan-yasmine,lllRaihanlll,,ヤスミン,BD,fallback,/players/raihan-yasmine,1,0,PASS_WITH_GAPS
lsecto,lSecto,,アレックス,,fallback,/players/lsecto,1,0,PASS_WITH_GAPS
lugabo,LUGABO,,キンバリー,,fallback,/players/lugabo,1,0,PASS_WITH_GAPS
micky,Micky,,不知火舞,HK,fallback,/players/micky,1,0,PASS_WITH_GAPS
mister-crimson,Mister Crimson,,C.ヴァイパー,FR,fallback,/players/mister-crimson,1,0,PASS_WITH_GAPS
mysticsmash,MysticSmash,,エレナ,,fallback,/players/mysticsmash,1,0,PASS_WITH_GAPS
naruo,Naruo,DetonatioN FocusMe,ジェイミー,JP,fallback,/players/naruo,1,0,PASS_WITH_GAPS
nemo,Nemo,Saishunkan Sol Kumamoto,アレックス,JP,fallback,/players/nemo,1,0,PASS_WITH_GAPS
noahtheprodigy,NoahTheProdigy,,ルーク,US / North America,fallback,/players/noahtheprodigy,1,0,PASS_WITH_GAPS
nychrisg,NYChrisG,,春麗,,fallback,/players/nychrisg,1,0,PASS_WITH_GAPS
psycho,Psycho,,キンバリー,,fallback,/players/psycho,1,0,PASS_WITH_GAPS
sako,sako,,イングリッド,JP,fallback,/players/sako,1,0,PASS_WITH_GAPS
shadyimpostor,ShadyImpostor,,アレックス,,fallback,/players/shadyimpostor,1,0,PASS_WITH_GAPS
shine,Shine,,キンバリー,,fallback,/players/shine,1,0,PASS_WITH_GAPS
shuto,Shuto,Crazy Raccoon,リュウ,JP / Japan,fallback,/players/shuto,1,0,PASS_WITH_GAPS
tachikawa,Tachikawa,Crazy Raccoon,C.ヴァイパー / ヤスミン,JP,fallback,/players/tachikawa,2,0,PASS_WITH_GAPS
takepi,takepi,Team iXA,JP,JP / Japan,fallback,/players/takepi,1,0,PASS_WITH_GAPS
watyawacha,watyawacha,,ルーク,JP / Japan,fallback,/players/watyawacha,1,0,PASS_WITH_GAPS
wawa,Wawa,,春麗,,fallback,/players/wawa,1,0,PASS_WITH_GAPS
yamaguchi,Yamaguchi,ZETA DIVISION,不知火舞,JP,fallback,/players/yamaguchi,1,0,PASS_WITH_GAPS
tantanmen,タンタンメン,La VISION,ジェイミー,JP,fallback,/players/tantanmen,1,0,PASS_WITH_GAPS
tokido,ときど,VARREL,JP,JP / Japan,fallback,/players/tokido,3,0,PASS_WITH_GAPS
ryusei,りゅうせい,SCARZ,JP,JP / Japan,fallback,/players/ryusei,1,0,PASS_WITH_GAPS
