priority,player_slug,player_name,video_id,title,url,public_probe,player_confirmed,character_confirmed,event,category,published_at,channel,channel_type,classification,notes
P0,tokido,ときど,WEsKeYBCqc4,CEO 2026 Grand Final Booce_Lee Terry vs Tokido JP,https://www.youtube.com/watch?v=WEsKeYBCqc4,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-17,Capcom Fighters,official_tournament,RELATION_READY,"既存RC migrationのCapcom公式metadata。公開URL再probeのみQueue"
P0,tokido,ときど,uPrVOCsysRc,CEO 2026 Top 8 Tokido JP vs Micky Mai,https://www.youtube.com/watch?v=uPrVOCsysRc,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,Capcom Fighters,official_tournament,RELATION_READY,"既存RC migrationのCapcom公式metadata。公開URL再probeのみQueue"
P0,tokido,ときど,3wP0NtK1ngI,CEO 2026 Top 8 Kilzyou Mai vs Tokido JP,https://www.youtube.com/watch?v=3wP0NtK1ngI,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,Capcom Fighters,official_tournament,RELATION_READY,"既存RC migrationのCapcom公式metadata。公開URL再probeのみQueue"
P0,tokido,ときど,OkDDXmNFhwY,CEO 2026 Top 8 Booce_Lee Terry vs Tokido JP,https://www.youtube.com/watch?v=OkDDXmNFhwY,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,Capcom Fighters,official_tournament,RELATION_READY,"既存RC migrationのCapcom公式metadata。公開URL再probeのみQueue"
P0,tokido,ときど,6-LsC5hynes,CEO 2026 Day3 Part2 CAPCOM Pro Tour 2026 Premier,https://youtube.com/live/6-LsC5hynes,YES,YES,YES,CEO 2026,event_vod,,Capcom Fighters,official_tournament,RELATION_READY,"前回監査でpublic確認済み。既存published Video"
P0,ryusei,りゅうせい,mwhNc0qi3Fs,JP SA2ラヴーシュカ主力コンボ・連携講座,https://www.youtube.com/watch?v=mwhNc0qi3Fs,FETCH_BLOCKED,YES,YES,,guide,2024-11-12,りゅうせい,player_channel,RELATION_READY,"Player本人名義・JP題名・既存RC metadata。public再probeのみQueue"
P0,ryusei,りゅうせい,UBsoBb01LOw,JP 墓場連携・体格キャラ依存研究,https://www.youtube.com/watch?v=UBsoBb01LOw,FETCH_BLOCKED,YES,YES,,guide,2026-02-11,りゅうせい,player_channel,RELATION_READY,"Player本人名義・JP題名・既存RC metadata。public再probeのみQueue"
P0,ryusei,りゅうせい,hXb9uM0bOco,JP SA2確定ガー不連携の再評価,https://www.youtube.com/watch?v=hXb9uM0bOco,FETCH_BLOCKED,YES,YES,,guide,,りゅうせい,player_channel,RELATION_READY,"Player本人名義・JP題名・既存RC metadata。public再probeのみQueue"
P0,ryusei,りゅうせい,zfoUNpRa20Y,JP 武器商人新セットプレイ・投げ抜け注意,https://www.youtube.com/watch?v=zfoUNpRa20Y,FETCH_BLOCKED,YES,YES,,guide,,りゅうせい,player_channel,RELATION_READY,"Player本人名義・JP題名・既存RC metadata。public再probeのみQueue"
P0,ryusei,りゅうせい,RPQg5ZnqTqo,JP システム対抗セットプレイ・ジャスパ分岐,https://www.youtube.com/watch?v=RPQg5ZnqTqo,FETCH_BLOCKED,YES,YES,,guide,,りゅうせい,player_channel,RELATION_READY,"Player本人名義・JP題名・既存RC metadata。public再probeのみQueue"
P1,kakeru,Kakeru,aIHPU9LTA78,Sho JP never misses an opening,https://www.youtube.com/watch?v=aIHPU9LTA78,YES,YES,YES,,match_clip,2026-07,,third_party,NEEDS_PLAYER_CONFIRMATION,"検索結果で公開確認。Kakeru/翔との同一性と転載権限をcross-checkするまでRelation不可"
P1,kakeru,Kakeru,F1NG2ey-A-0,Legend Rank 1 JP player Sho,https://www.youtube.com/live/F1NG2ey-A-0,YES,YES,YES,,stream_vod,2023,,third_party,NEEDS_PLAYER_CONFIRMATION,"公開確認済み。Kakeru/翔との同一性は文脈上有力だがPrimary確認待ち"
P1,shuto,Shuto,,,,UNKNOWN,NO,NO,,match,,,unknown,NEEDS_PLAYER_CONFIRMATION,"既存Video Libraryから本人・Ryuを同時確認できる候補は未解決"
P1,kisaragi-ren,如月れん,,,,UNKNOWN,NO,NO,,stream,,,unknown,NEEDS_PLAYER_CONFIRMATION,"本人Channelは確定したがSF6対象動画のexact ID未確定"
