priority,player_slug,player_name,video_id,title,url,public_probe,player_confirmed,character_confirmed,event,category,published_at,view_count,channel,classification,notes
P0,tokido,ときど,WEsKeYBCqc4,CEO 2026 Grand Final Booce_Lee Terry vs Tokido JP,https://www.youtube.com/watch?v=WEsKeYBCqc4,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-17,,Capcom Fighters,RELATION_READY,"Re-probe before write"
P0,tokido,ときど,uPrVOCsysRc,CEO 2026 Top 8 Tokido JP vs Micky Mai,https://www.youtube.com/watch?v=uPrVOCsysRc,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,,Capcom Fighters,RELATION_READY,"Re-probe before write"
P0,tokido,ときど,3wP0NtK1ngI,CEO 2026 Top 8 Kilzyou Mai vs Tokido JP,https://www.youtube.com/watch?v=3wP0NtK1ngI,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,,Capcom Fighters,RELATION_READY,"Re-probe before write"
P0,tokido,ときど,OkDDXmNFhwY,CEO 2026 Top 8 Booce_Lee Terry vs Tokido JP,https://www.youtube.com/watch?v=OkDDXmNFhwY,FETCH_BLOCKED,YES,YES,CEO 2026,match,2026-08-29,,Capcom Fighters,RELATION_READY,"Re-probe before write"
P0,tokido,ときど,6-LsC5hynes,CEO 2026 Day3 Part2 CAPCOM Pro Tour 2026 Premier,https://youtube.com/live/6-LsC5hynes,YES,YES,YES,CEO 2026,event_vod,,,Capcom Fighters,RELATION_READY,"Public confirmed"
P0,ryusei,りゅうせい,mwhNc0qi3Fs,JP SA2ラヴーシュカ主力コンボ・連携講座,https://www.youtube.com/watch?v=mwhNc0qi3Fs,FETCH_BLOCKED,YES,YES,,guide,2024-11-12,,りゅうせい,RELATION_READY,"Re-probe before write"
P0,ryusei,りゅうせい,UBsoBb01LOw,JP 墓場連携・体格キャラ依存研究,https://www.youtube.com/watch?v=UBsoBb01LOw,FETCH_BLOCKED,YES,YES,,guide,2026-02-11,,りゅうせい,RELATION_READY,"Re-probe before write"
P0,ryusei,りゅうせい,hXb9uM0bOco,JP SA2確定ガー不連携の再評価,https://www.youtube.com/watch?v=hXb9uM0bOco,FETCH_BLOCKED,YES,YES,,guide,,,りゅうせい,RELATION_READY,"Re-probe before write"
P0,ryusei,りゅうせい,zfoUNpRa20Y,JP 武器商人新セットプレイ・投げ抜け注意,https://www.youtube.com/watch?v=zfoUNpRa20Y,FETCH_BLOCKED,YES,YES,,guide,,,りゅうせい,RELATION_READY,"Re-probe before write"
P0,ryusei,りゅうせい,RPQg5ZnqTqo,JP システム対抗セットプレイ・ジャスパ分岐,https://www.youtube.com/watch?v=RPQg5ZnqTqo,FETCH_BLOCKED,YES,YES,,guide,,,りゅうせい,RELATION_READY,"Re-probe before write"
P1,kakeru,Kakeru,aIHPU9LTA78,Sho JP never misses an opening,https://www.youtube.com/watch?v=aIHPU9LTA78,YES,YES,YES,,match_clip,2026-07,,,NEEDS_RIGHTS_AND_IDENTITY_REVIEW,"Third-party clip; not publish-ready"
P1,kakeru,Kakeru,F1NG2ey-A-0,Legend Rank 1 JP player Sho,https://www.youtube.com/live/F1NG2ey-A-0,YES,YES,YES,,stream_vod,2023,,,NEEDS_RIGHTS_AND_IDENTITY_REVIEW,"Third-party VOD; not publish-ready"
P1,kisaragi-ren,如月れん,,,,UNKNOWN,YES,NO,,stream,,,,NEEDS_EXACT_VIDEO,"本人 channels confirmed; exact public SF6 ID unresolved"
P1,shuto,Shuto,,,,UNKNOWN,NO,NO,,match,,,,NEEDS_EXACT_VIDEO,"No exact candidate added"
