priority,relation_type,left_entity,right_entity,character,state,source_or_evidence,gate
P0,player_video,ryusei,mwhNc0qi3Fs,JP,RELATION_READY,https://www.youtube.com/watch?v=mwhNc0qi3Fs,DB_APPROVAL
P0,player_video,ryusei,UBsoBb01LOw,JP,RELATION_READY,https://www.youtube.com/watch?v=UBsoBb01LOw,DB_APPROVAL
P0,player_video,ryusei,hXb9uM0bOco,JP,RELATION_READY,https://www.youtube.com/watch?v=hXb9uM0bOco,DB_APPROVAL
P0,player_video,ryusei,zfoUNpRa20Y,JP,RELATION_READY,https://www.youtube.com/watch?v=zfoUNpRa20Y,DB_APPROVAL
P0,player_video,ryusei,RPQg5ZnqTqo,JP,RELATION_READY,https://www.youtube.com/watch?v=RPQg5ZnqTqo,DB_APPROVAL
P0,player_video,ryusei,6EvRH7Su0Wg,JP,RELATION_READY,https://www.youtube.com/watch?v=6EvRH7Su0Wg,DB_APPROVAL
P0,player_video,ryusei,GgrWC9HkRPk,JP,RELATION_READY,https://www.youtube.com/watch?v=GgrWC9HkRPk,DB_APPROVAL
P0,player_video,tokido,WEsKeYBCqc4,JP,RELATION_READY,official_tournament_metadata,URL_REPROBE_AND_DB_APPROVAL
P0,player_video,tokido,uPrVOCsysRc,JP,RELATION_READY,official_tournament_metadata,URL_REPROBE_AND_DB_APPROVAL
P0,player_video,tokido,3wP0NtK1ngI,JP,RELATION_READY,official_tournament_metadata,URL_REPROBE_AND_DB_APPROVAL
P0,player_video,tokido,OkDDXmNFhwY,JP,RELATION_READY,official_tournament_metadata,URL_REPROBE_AND_DB_APPROVAL
P0,player_video,tokido,6-LsC5hynes,JP,RELATION_READY,official_tournament_metadata,DB_APPROVAL
P1,player_video,kakeru,H6j_0UP6bJo,JP,NEEDS_RIGHTS_AND_IDENTITY_REVIEW,https://www.youtube.com/watch?v=H6j_0UP6bJo,DO_NOT_PUBLISH
P1,player_video,kakeru,oTVq2wmszZc,JP,NEEDS_RIGHTS_AND_IDENTITY_REVIEW,https://www.youtube.com/watch?v=oTVq2wmszZc,DO_NOT_PUBLISH
P1,player_video,kisaragi-ren,,UNKNOWN,BLOCKED,official_profile_and_channel,EXACT_VIDEO_REQUIRED
P1,player_video,shuto,,Ryu,BLOCKED,existing_player_record,EXACT_VIDEO_REQUIRED
P1,player_tournament,kakeru,capcom-cup-11,JP,PRIMARY_CONFIRMED,CAPCOM_primary,DB_APPROVAL
P1,player_source,kisaragi-ren,vspo-official,UNKNOWN,PRIMARY_CONFIRMED,https://store.vspo.jp/pages/kisaragi-ren,DB_APPROVAL
