priority,character,video_id,url,availability,published_at,view_count,checked_at,channel,channel_type,player,event,category,language,relation_state,notes
P0,JP,A28Hs4CPas0,https://www.youtube.com/watch?v=A28Hs4CPas0,PUBLIC_CONFIRMED,2025-06-14,UNKNOWN,2026-09-18,JP short guide,CREATOR,UNRESOLVED,,guide,ja,CANDIDATE,"Public result; gameplay claims unverified"
P0,JP,wLGt1cusFT0,https://www.youtube.com/shorts/wLGt1cusFT0,PUBLIC_CONFIRMED,2024-12-25,UNKNOWN,2026-09-18,JP short guide,CREATOR,UNRESOLVED,,combo,ja,CANDIDATE,"Public short; recipe unverified"
P0,JP,hXb9uM0bOco,https://www.youtube.com/watch?v=hXb9uM0bOco,PUBLIC_CONFIRMED,2026-01-24,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"YouTube and player X cross-reference"
P0,JP,zfoUNpRa20Y,https://www.youtube.com/watch?v=zfoUNpRa20Y,PUBLIC_CONFIRMED,2025-09-07,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"YouTube and player X cross-reference"
P0,JP,RPQg5ZnqTqo,https://www.youtube.com/watch?v=RPQg5ZnqTqo,PUBLIC_CONFIRMED,2026-02-06,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"Player X exact-ID cross-reference"
P0,JP,UBsoBb01LOw,https://www.youtube.com/watch?v=UBsoBb01LOw,PUBLIC_CONFIRMED,2026-02-11,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"YouTube and player X exact-ID cross-reference"
P0,JP,mwhNc0qi3Fs,https://www.youtube.com/watch?v=mwhNc0qi3Fs,PUBLIC_CONFIRMED,2024-11-12,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"Direct exact-ID public result resolved"
P0,JP,6EvRH7Su0Wg,https://www.youtube.com/watch?v=6EvRH7Su0Wg,PUBLIC_CONFIRMED,UNKNOWN,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"Direct exact-ID result; chapters visible"
P0,JP,GgrWC9HkRPk,https://www.youtube.com/watch?v=GgrWC9HkRPk,PUBLIC_CONFIRMED,2025-08-31,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,RELATION_READY,"Direct result and player X cross-reference"
P0,JP,TppoRqFmaVE,https://www.youtube.com/watch?v=TppoRqFmaVE,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,combo,ja,BLOCKED,"Exact-ID public state unresolved"
P0,JP,3hHac9ko9nY,https://www.youtube.com/watch?v=3hHac9ko9nY,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,BLOCKED,"RC metadata candidate; independent result unresolved"
P0,JP,LqRP3AUT8Dw,https://www.youtube.com/watch?v=LqRP3AUT8Dw,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,BLOCKED,"RC metadata candidate; independent result unresolved"
P0,JP,ClMfY6szcUc,https://www.youtube.com/watch?v=ClMfY6szcUc,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,BLOCKED,"RC metadata candidate; independent result unresolved"
P1,Ryu,Webv4hwKRew,https://www.youtube.com/watch?v=Webv4hwKRew,PUBLIC_CONFIRMED,2025-07-08,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,combo,ja,CANDIDATE,"Direct public result"
P1,Ryu,c98pgwqOz70,https://www.youtube.com/watch?v=c98pgwqOz70,PUBLIC_CONFIRMED,2026-01-24,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,guide,ja,CANDIDATE,"Direct public result"
P1,Ryu,kWS3zqOINUU,https://www.youtube.com/watch?v=kWS3zqOINUU,PUBLIC_CONFIRMED,2026-05-19,UNKNOWN,2026-09-18,さわかぜ,CREATOR,UNRESOLVED,,guide,ja,CANDIDATE,"Direct public result and public cross-links"
P1,Ryu,ZQLuHVVdG-M,https://www.youtube.com/watch?v=ZQLuHVVdG-M,NEEDS_PUBLIC_REPROBE,2025-12-26,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,combo,ja,BLOCKED,"Exact-ID independent result unresolved"
P1,Ryu,L7s0xH48pLs,https://www.youtube.com/watch?v=L7s0xH48pLs,NEEDS_PUBLIC_REPROBE,2026-01-07,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,guide,ja,BLOCKED,"Exact-ID independent result unresolved"
