priority,character,video_id,url,public_state,published_at,view_count,view_count_checked_at,channel,channel_type,player,event,category,language,notes
P0,JP,A28Hs4CPas0,https://www.youtube.com/watch?v=A28Hs4CPas0,PUBLIC_CONFIRMED,2025-06-14,UNKNOWN,2026-09-18,JP short guide,CREATOR,UNRESOLVED,,guide,ja,"Public search result; gameplay recipe remains unverified"
P0,JP,wLGt1cusFT0,https://www.youtube.com/shorts/wLGt1cusFT0,PUBLIC_CONFIRMED,2024-12-25,UNKNOWN,2026-09-18,JP short guide,CREATOR,UNRESOLVED,,combo,ja,"Public short; exact recipe remains unverified"
P0,JP,hXb9uM0bOco,https://www.youtube.com/watch?v=hXb9uM0bOco,PUBLIC_CONFIRMED,2026-01-24,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"YouTube and本人X cross-reference"
P0,JP,zfoUNpRa20Y,https://www.youtube.com/watch?v=zfoUNpRa20Y,PUBLIC_CONFIRMED,2025-09-07,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"YouTube and本人X cross-reference"
P0,JP,RPQg5ZnqTqo,https://www.youtube.com/watch?v=RPQg5ZnqTqo,PUBLIC_CONFIRMED,2026-02-06,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"本人X exact-ID cross-reference; not members-only"
P0,JP,UBsoBb01LOw,https://www.youtube.com/watch?v=UBsoBb01LOw,PUBLIC_CONFIRMED,2026-02-11,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"YouTube result and本人X exact-ID cross-reference"
P0,JP,mwhNc0qi3Fs,https://www.youtube.com/watch?v=mwhNc0qi3Fs,PUBLIC_CONFIRMED,2024-11-12,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"Direct exact-ID public result resolved"
P0,JP,6EvRH7Su0Wg,https://www.youtube.com/watch?v=6EvRH7Su0Wg,PUBLIC_CONFIRMED,UNKNOWN,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"Direct exact-ID result; chapters visible"
P0,JP,GgrWC9HkRPk,https://www.youtube.com/watch?v=GgrWC9HkRPk,PUBLIC_CONFIRMED,2025-08-31,UNKNOWN,2026-09-18,りゅうせい,PLAYER,りゅうせい,,guide,ja,"Direct result and player X cross-reference"
P0,JP,TppoRqFmaVE,https://www.youtube.com/watch?v=TppoRqFmaVE,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,JP攻略動画,UNKNOWN,UNRESOLVED,,combo,ja,"Public state and channel unresolved"
P0,JP,3hHac9ko9nY,https://www.youtube.com/watch?v=3hHac9ko9nY,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,"RC metadata candidate; independent result unresolved"
P0,JP,LqRP3AUT8Dw,https://www.youtube.com/watch?v=LqRP3AUT8Dw,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,"RC metadata candidate; independent result unresolved"
P0,JP,ClMfY6szcUc,https://www.youtube.com/watch?v=ClMfY6szcUc,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,2026-09-18,UNKNOWN,UNKNOWN,UNRESOLVED,,guide,ja,"RC metadata candidate; independent result unresolved"
P1,Ryu,Webv4hwKRew,https://www.youtube.com/watch?v=Webv4hwKRew,PUBLIC_CONFIRMED,2025-07-08,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,combo,ja,"Direct YouTube search result; companion article exists"
P1,Ryu,c98pgwqOz70,https://www.youtube.com/watch?v=c98pgwqOz70,PUBLIC_CONFIRMED,2026-01-24,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,guide,ja,"Direct YouTube search result"
P1,Ryu,kWS3zqOINUU,https://www.youtube.com/watch?v=kWS3zqOINUU,PUBLIC_CONFIRMED,2026-05-19,UNKNOWN,2026-09-18,さわかぜ,CREATOR,UNRESOLVED,,guide,ja,"Direct YouTube result plus public Shorts cross-links"
P1,Ryu,ZQLuHVVdG-M,https://www.youtube.com/watch?v=ZQLuHVVdG-M,NEEDS_PUBLIC_REPROBE,2025-12-26,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,combo,ja,"Exact-ID public result not independently obtained"
P1,Ryu,L7s0xH48pLs,https://www.youtube.com/watch?v=L7s0xH48pLs,NEEDS_PUBLIC_REPROBE,2026-01-07,UNKNOWN,2026-09-18,ぷにぷにの格ゲー解説ちゃんねる,CREATOR,UNRESOLVED,,guide,ja,"Exact-ID public result not independently obtained"
