priority,character,video_id,url,title,public_state,published_at,view_count,channel,player,event,category,language,control,level,notes
P0,JP,A28Hs4CPas0,https://www.youtube.com/watch?v=A28Hs4CPas0,JPインパクト返し不可・しゃがみ対応セットプレイ,PUBLIC_CONFIRMED,2025-06-14,UNKNOWN,JP short guide,UNRESOLVED,,guide,ja,UNKNOWN,UNKNOWN,"Search result reconfirmed; gameplay recipe unverified"
P0,JP,wLGt1cusFT0,https://www.youtube.com/shorts/wLGt1cusFT0,JP壁張り付き限定コンボ,PUBLIC_CONFIRMED,2024-12-25,UNKNOWN,JP short guide,UNRESOLVED,,combo,ja,UNKNOWN,UNKNOWN,"Short URL confirmed; exact recipe unverified"
P0,JP,hXb9uM0bOco,https://www.youtube.com/watch?v=hXb9uM0bOco,JP SA2確定ガー不連携の再評価,PUBLIC_CONFIRMED,2026-01-24,UNKNOWN,りゅうせい,りゅうせい,,guide,ja,UNKNOWN,advanced,"YouTube and本人X cross-reference confirmed"
P0,JP,zfoUNpRa20Y,https://www.youtube.com/watch?v=zfoUNpRa20Y,JP武器商人新セットプレイ・投げ抜け注意,PUBLIC_CONFIRMED,2025-09-07,UNKNOWN,りゅうせい,りゅうせい,,guide,ja,UNKNOWN,advanced,"YouTube and本人X cross-reference confirmed"
P0,JP,RPQg5ZnqTqo,https://www.youtube.com/watch?v=RPQg5ZnqTqo,JPシステム対抗セットプレイ・ジャスパ分岐,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,りゅうせい,りゅうせい,,guide,ja,UNKNOWN,advanced,"Existing exact ID; search did not independently resolve"
P0,JP,mwhNc0qi3Fs,https://www.youtube.com/watch?v=mwhNc0qi3Fs,JP SA2ラヴーシュカ主力コンボ・連携講座,NEEDS_PUBLIC_REPROBE,2024-11-12,UNKNOWN,りゅうせい,りゅうせい,,guide,ja,UNKNOWN,advanced,"Existing RC metadata"
P0,JP,UBsoBb01LOw,https://www.youtube.com/watch?v=UBsoBb01LOw,JP墓場連携・体格キャラ依存研究,NEEDS_PUBLIC_REPROBE,2026-02-11,UNKNOWN,りゅうせい,りゅうせい,,guide,ja,UNKNOWN,advanced,"Existing RC metadata"
P0,JP,TppoRqFmaVE,https://www.youtube.com/watch?v=TppoRqFmaVE,JP SA2中央限定運び・起き攻め,NEEDS_PUBLIC_REPROBE,UNKNOWN,UNKNOWN,JP攻略動画,UNRESOLVED,,combo,ja,UNKNOWN,advanced,"Exact recipe remains device review"
P1,Ryu,Webv4hwKRew,https://www.youtube.com/watch?v=Webv4hwKRew,YEAR3リュウ実戦向けコンボとセットプレイ19選,NEEDS_PUBLIC_REPROBE,2025-09-30,UNKNOWN,ぷにらぼ,UNRESOLVED,,combo,ja,UNKNOWN,UNKNOWN,"Companion article analyzed; video pixels pending"
P1,Ryu,ZQLuHVVdG-M,https://www.youtube.com/watch?v=ZQLuHVVdG-M,リュウのとりこれコンボ5選,NEEDS_PUBLIC_REPROBE,2025-12-26,UNKNOWN,ぷにらぼ,UNRESOLVED,,combo,ja,UNKNOWN,UNKNOWN,"Companion article analyzed"
P1,Ryu,c98pgwqOz70,https://www.youtube.com/watch?v=c98pgwqOz70,リュウ相手の暴れ・打ち返し行動対策,NEEDS_PUBLIC_REPROBE,2026-01-24,UNKNOWN,ぷにらぼ,UNRESOLVED,,guide,ja,UNKNOWN,UNKNOWN,"Companion article analyzed"
P1,Ryu,L7s0xH48pLs,https://www.youtube.com/watch?v=L7s0xH48pLs,リュウ中央シミーセットプレイ,NEEDS_PUBLIC_REPROBE,2026-01-07,UNKNOWN,ぷにらぼ,UNRESOLVED,,guide,ja,UNKNOWN,UNKNOWN,"Companion article analyzed"
P1,Ryu,kWS3zqOINUU,https://www.youtube.com/watch?v=kWS3zqOINUU,2026年対応リュウコンボ＆起き攻め完全ガイド,NEEDS_PUBLIC_REPROBE,2026-07-21,UNKNOWN,カルコラ,UNRESOLVED,,guide,ja,UNKNOWN,UNKNOWN,"Companion article analyzed"
