route,file,reviewed_items,issue_types,fact_change,source_required,action
/,v2-web/src/app/page.tsx,32,"UNNATURAL_JAPANESE;VAGUE_CTA;TOO_ABSTRACT",NO,NO,CHANGED
/auth,v2-web/src/app/auth/page.tsx,11,"USER_STATE_UNCLEAR;UNNATURAL_JAPANESE",NO,NO,CHANGED
/diagnosis,v2-web/src/app/diagnosis/page.tsx,8,"TOO_FORMAL",NO,NO,REVIEWED_NO_CHANGE
/diagnosis/[slug],v2-web/src/components/diagnosis-runner.tsx,24,"DEVELOPER_TERM;TRANSLATION_LIKE",NO,NO,CHANGED
/diagnosis/history,v2-web/src/components/diagnosis-history-tool.tsx,7,NONE,NO,NO,REVIEWED_NO_CHANGE
/me/training,v2-web/src/components/daily-training-planner.tsx,16,"TOO_LONG",NO,NO,REVIEWED_NO_CHANGE
/search,v2-web/src/app/search/page.tsx,19,"VAGUE_CTA;TOO_FORMAL",NO,NO,CHANGED
/players,v2-web/src/app/players/page.tsx,7,"TOO_FORMAL",NO,NO,CHANGED
/players/[slug],v2-web/src/app/players/[slug]/page.tsx,9,NONE,NO,NO,REVIEWED_NO_CHANGE
/videos,v2-web/src/app/videos/page.tsx,6,"TOO_FORMAL;DEVELOPER_TERM",NO,NO,CHANGED
/videos/[slug],v2-web/src/app/videos/[slug]/page.tsx,7,NONE,NO,NO,REVIEWED_NO_CHANGE
/faq,v2-web/src/app/faq/page.tsx,18,"TOO_FORMAL;USER_STATE_UNCLEAR",NO,NO,CHANGED
/feedback,v2-web/src/app/feedback/page.tsx,12,"TOO_FORMAL;TRANSLATION_LIKE",NO,NO,CHANGED
/contact,v2-web/src/app/contact/page.tsx,15,"USER_STATE_UNCLEAR;TOO_FORMAL",NO,NO,CHANGED
/about,v2-web/src/app/about/page.tsx,11,"TOO_FORMAL;TOO_LONG",NO,NO,CHANGED
/sources,v2-web/src/app/sources/page.tsx,14,"TOO_FORMAL;TOO_ABSTRACT",NO,NO,CHANGED
/privacy,v2-web/src/app/privacy/page.tsx,10,NONE,NO,NO,REVIEWED_NO_CHANGE
/terms,v2-web/src/app/terms/page.tsx,10,NONE,NO,NO,REVIEWED_NO_CHANGE
/disclaimer,v2-web/src/app/disclaimer/page.tsx,10,NONE,NO,NO,REVIEWED_NO_CHANGE
/changelog,v2-web/src/app/changelog/page.tsx,8,NONE,NO,NO,REVIEWED_NO_CHANGE
404,v2-web/src/app/not-found.tsx,3,DEVELOPER_TERM,NO,NO,CHANGED
error,v2-web/src/app/error.tsx,3,NONE,NO,NO,REVIEWED_NO_CHANGE
header-footer-mobile,v2-web/src/app/layout.tsx,19,NONE,NO,NO,REVIEWED_NO_CHANGE
/characters-common,v2-web/src/components/character-tabs.tsx,10,NONE,NO,NO,REVIEWED_NO_CHANGE
/characters/[slug]-common,v2-web/src/components/character-detail-pilot.tsx,22,"VAGUE_CTA",NO,NO,HOLD_CHARACTER_SPECIFIC
